words,label
di dipa kantor tata usaha ni ?,lampung
saya datang kemari mengundang bibi hajatnya ketua adat,indonesia
"sikam ardian , pak",lampung
mereka ke kota naik apa ?,indonesia
sikam mit karang teliyu bambu kuning,lampung
tiap sore isman menyiram kebun,indonesia
sudah malam saya harus pulang,indonesia
tuan-tuan si wat di kantogh bri nenggu pembayaghan gaji jama sabagh,lampung
dia berusaha gigih melawan penindasan belanda terhadap rakyat yang tidak berdosa,indonesia
apik kabar kuti ?,lampung
ada kegiatan uks,indonesia
gelaghni ibu hadijah,lampung
dia berambut panjang,indonesia
"pengairan biasani diughus jama pemeghintah lom hal hinji dinas pekerjaan umum sekri ditjen air , gelaghni irigasi",lampung
tini bingi,lampung
ceghmin suka dan sedih,lampung
mengapa kamu tidak sekolah kemarin ?,indonesia
dimana lokasinya ?,indonesia
"ibu mencuci baju , menyapu lantai , beres-beres",indonesia
kakak menyembunyikan buku bahasa lampungku,indonesia
"waktu bu aminah ngabsen murid-murid beliyau ngulih , dipa rina , ya kak ghuwa ghani mak kughuk sekula ?",lampung
huruf hinji dibaca,lampung
nyak kilu cuti,lampung
api caghani gham syukuri ghahmat alloh sai gegoh sina ?,lampung
kau kelas berapa ?,indonesia
gham nengi munih ghik sai belibur di pekon sina bemain besenda gurau jejama,lampung
"hughang lindu sinji hughik ni dilom wai payau , wai jak campughan wai masin lawok jama tawar",lampung
haga mit ipa niku ?,lampung
mahap mak dapok,lampung
sipa sai helau benor ?,lampung
bendera kita merah putih,indonesia
koghet sama cangkul kecil yang gunanya untuk mengoret rumput,indonesia
api niku haga nganik sesuatu ?,lampung
lingkungan hughik gham si pagun asli gham jaga demi anak umpu di waktu si haga ghatong tanda syukuri ghahmat alloh,lampung
setelah kita mendengarkan cerita anak yang males,indonesia
radu saka ?,lampung
"adi bertemu adiknya , ke mana kamu ?",indonesia
siapa yang menerima surat itu ?,indonesia
"sesudah sholat dia berdoa , tidak lupa mendoakan kedua orang tuanya",indonesia
nyak ngebeli kawai di toko,lampung
ayah membaca koran di ruang tamu,indonesia
kanah bek inji neram berkunjung mik kebun binatang,lampung
"ya peghnah munih di upok tawok-tawok bakasni , dicawako tiyan banci , ulih ia mak pandai maghah ditagankoni gawoh",lampung
dimanakah kamu menyimpan sendok ?,indonesia
gegoh nihan sifat kelimani,lampung
saya minta satu porsi daging sapi dicincang,indonesia
beliau kerja dari pagi hingga sore,indonesia
saya mau beli celana dalam,indonesia
kira-kira kedau muni surat sija haga tigoh ?,lampung
riwayat waktu si indah tumabi,lampung
"rajin belajar ya kalian semuanya , injuk husin udi",indonesia
setelah ini kita pergi ke tempat lain,indonesia
nulis ghik baca had lampung,lampung
sina sai jadi kebahagian pak andi sangamiyanak,lampung
ghepa kuti beghuwa nutuk belajagh kelompok ?,lampung
"ali ngulih gughuni , haga mit dipa puskam ?",lampung
haga mit ipa niku ?,lampung
nyak pembantu,lampung
dimana tempat memperbaikinya ?,indonesia
"sayang perjuangannya singkat sekali , karena pengkhianatan orang sendiri",indonesia
kita tidak bagus punya rasa buruk-sangka,indonesia
mak jahat jama ghikni,lampung
tiap tanggal 10 zulhijjah gham libur peringatan idul adha,lampung
yang bukan merupakan kesimpulan wacana pahlawan raden intan ialah,indonesia
ayah betan subing yalah ratu dipuncak,lampung
mahap mak dapok,lampung
dang mit dokter ummi,lampung
pira rani niku tinggal dija ?,lampung
kurang asin manis asam pedas,indonesia
mari kiat mensyukuri dengan tetap menjaga hasil pertanian desaku !,indonesia
keluarga ilham,indonesia
dipa pok mejongni ?,lampung
dia belajar kurang lebih satu jam,indonesia
kalau mau menyebrang pejalan kaki ngelewati zebra cros saat kendaraan beghadu,lampung
dia seorang petani,indonesia
dipa lambanmu ?,lampung
anak-anak ini bu guru,indonesia
kita ke sana jalan kaki,indonesia
mengan ghik nginum,lampung
ibu ngekuk di dapugh,lampung
jemoh dang lupa ngusung sangsu sai lamon yah,lampung
dang suwa sambol,lampung
kapan-kapan ke sini lagi,indonesia
itu tidak diridhoi tuhan,indonesia
senangnya sebentar nasib tidak mujur,indonesia
"selajuni tiyan ngebantu hulun tuha tiyan , ngebeghsiko ruang tamu , nyapu tengebah , dll",lampung
bahasa yang dipakai dalam kalangan anak-anak teman sebaya ialah ragam bahasa awam,indonesia
tanggal 29 desember 2008 gham libur 1 muharam sina tahun baru islam,lampung
lepas baju anda dan pakai baju ini,indonesia
"bibi berkata dengan ani dan ana , saya mau ke pasar kamu berdua menunggu rumah",indonesia
jam pira adzan subuh ni ?,lampung
"bapak susah , ibu nutuk susah",lampung
ada yang harus saya lakukan di kantor,indonesia
"ani berkata sama ana , ani saya pinjam buku",indonesia
dipa lambanmu ?,lampung
"dik , saya pergi dulu ya",indonesia
rangni agak jawoh jak ija,lampung
"pak , upacara sudah siap dilaksanakan",indonesia
sapa gelagh pahlawan sai wat lom wacana diunggak ?,lampung
ada gajah sekolah di way kambas,indonesia
apak ngusung deghian,lampung
dimanakah bengkel yang terdekat ?,indonesia
tunjukkan kata berimbuhan berubah !,indonesia
"pah gham jam-jama , nyak munih haga ngabeli permen",lampung
"ganta gilighan ardian , dipa ardian ?",lampung
saya mau minuman dingin,indonesia
gham belajagh supaya pandai,lampung
senam pagi dilaksanakan sebelum pelajaran dimulai,indonesia
"yuk pak , timbal komariyah",lampung
penangui sina badani sihat,lampung
dia selalu membela orang kesusahan julukannya mata empat sebab memang dia punya mata empat,indonesia
saya pikir saya dapat memperbaikinya sendiri,indonesia
rang layani macet kik mudik reji,lampung
ibu membuat gulai ayam,indonesia
pak lurah memutuskan hadir di dalam rapat desa,indonesia
apakah kita jadi latihan tenis besok pagi ?,indonesia
dimana tempat membeli minuman,indonesia
humpa ranglaya haguk wisata way kambas ?,lampung
biyak na seratus kilo,lampung
nukman melobangi tanah buat menanam jagung,indonesia
hujan,lampung
bolehkah saya menolongmu,indonesia
tutuk nasihat guru,lampung
nyak haga ngembeli seragam,lampung
"saya minta sama kamu , nanti malam datang ya",indonesia
pengajiannya dimulai setelah sholat dzuhur,indonesia
api sai ngidok d kandang sina ?,lampung
"jam setengah lima pagi-pagi ya ghadu minjak , ngeberesko pok pedom , laju mit kamar mandi , bewudlu",lampung
dari sini anda harus ke sebelah utara,indonesia
silahkan bapak duluan,indonesia
kamu jangan suka berkelahi di sekolah,indonesia
bapaknya yang memberi racun kepada anak kandungnya,indonesia
lampu ni mati,lampung
karim mencuri sapi di desanya sendiri,indonesia
sikam bolos jejama laju mulangni dibutongi amak,lampung
nyaik haga nyambai,lampung
"dighasako ghadu cukup ya belajagh , ahmad lapah mit dapugh ya ngeliyak ibuni lagi ngekuk",lampung
bang husin ngeghatako tanoh pakai gaghu,lampung
dimana saya bisa membeli oleh-oleh ?,indonesia
dipa sekulaan dija ?,lampung
nyak belajagh nyani segata,lampung
mari kita sekolah ! kata ali sama teman-teman nya,indonesia
niku terebik dipa ?,lampung
"ali tungga jama pak haji ghik bu haji , haga mit dipa kuti ghumpok ?",lampung
kak ruwa rani,lampung
"pak ali bertanya anaknya , hari ini kita ke metro",indonesia
tidak saya tidak punya keluarga di sini,indonesia
kita mendengar juga teman yang berlibur di kampung itu bermain bersenda gurau sesama,indonesia
apakah anda dibayar perminggu atau per-bulan ?,indonesia
"tono , saya mau pulang",indonesia
saya mau yang kecil,indonesia
jangan lupa belajar,indonesia
dia tua,indonesia
atoghan kanikan sai seimbang sina digeghali pak sihat lima sempurghna,lampung
"teghima kasih pak , cawa pak sulaiman apakni komariyah",lampung
mutil jagung,lampung
didalam tahun 1883 gunung krakatau yang tempat nya di selat sunda meledak hebat,indonesia
sikam lagi mengan punti penajak,lampung
silahkan saja,indonesia
"wau , menahan amarah saya melihat maling itu",indonesia
nomor telepon saya tiga enam dua tujuh delapan tiga,indonesia
berapa harganya kamus yang tebal ?,indonesia
cukut ni diikok ghantai,lampung
dalam hatinya ahmad berkata,indonesia
di lamban gham kakala wat datuk jama nyaik sai kak tuha nihan keghuwani holon tuha ayah,lampung
nyak haga ngenjualna,lampung
pemburu itu menembaki semua burung yang ada di hutan,indonesia
sakit hatiku memungkiri janji dari kamu,indonesia
jak ja pusikam haguk arah matarani mati,lampung
dia baru kelas satu,indonesia
haliwawak hina helau keligh sayap ni,lampung
tinggalkan perbuatan keji,indonesia
"hai anto , apa kabarnya ?",indonesia
petani sina haga lapah mit sabah,lampung
dipa niku nyepok duitni ?,lampung
hujan,indonesia
jamaah harap ngelurusko saf ni,lampung
nyak bukokkoh sanga gelas teh,lampung
saya bekerja dari pagi sampai sore,indonesia
apakah anda tahu bagaimana cara menuju kesana ?,indonesia
siapa nama bapaknya lukman ?,indonesia
"setelah mereka mandi , mereka memakai seragam setelahnya mereka makan",indonesia
lapah gham misol ughang di wai,lampung
kita pergi ke sekolah naik sepeda,indonesia
sedengko lames males ya mejong-mejong gaoh di lambanni,lampung
cermin suka dan sedih,indonesia
dokter lagi ngubati pasienni,lampung
apakah anda sedang santai ?,indonesia
tighulah peghilaku jaghi,lampung
selamat suka praya,lampung
saya belajar bahasa lampung di rumah,indonesia
unggal rani dang haga telat,lampung
adik menangis karena kehausan,indonesia
ya sikam nerima pesanan,lampung
saya minta satu tiket,indonesia
nyak pegawai tetap,lampung
menulis dan membaca aksara lampung,indonesia
hari demi hari terasa indah,indonesia
istilah lain turis ialah wisatawan,indonesia
gham dapok ngelanjeuken lapah kendaraan gham amun lampu hujau ghadu menyala,lampung
induk ilham ngebeli lalap-lalapan ghik bebukan,lampung
"sabar dulu komariyah belum kesiangan , kata ayahnya",indonesia
"ali berkata sama hamid , hamid kamu mau ikut ke pasar malam ?",indonesia
kamar nomor lima rua telu,lampung
setiap hari jumat yang memimpin senam begiliran,indonesia
pigha nilai pelajaghan bahasa lampungmu ?,lampung
keretanya datang jam lima,indonesia
sungguh karena dia rajin memberi pupuk dan rajin menjenguk,indonesia
amir mak sekula ummi,lampung
pesan atau amanat cerita sanak sai males yalah sanak males sina nyusahko hati holon tuha,lampung
pak tono bukeghjo sepanjang ghani,lampung
setiap tahun di provinsi lampung diadakan festival krakatau,indonesia
kamarnya nomor berapa ?,indonesia
inak lagi nyawakon gham jemoh midoghan mit laok,lampung
kita bisa berendam di air panas,indonesia
ibu sedang memberi garam ikan yang digoreng,indonesia
di dipa toilet ni ?,lampung
jam pigha petunjukan ni di mulai,lampung
indah nya pemandangan danau ranau,indonesia
holon sai suka melancong disebut pelancong,lampung
tidak lama hanya dua hari,indonesia
ayah fasih berbahasa lampung,indonesia
"apak sikam ghadu ninggal tahun sai likut , pak",lampung
ia basa nayah pekeran,lampung
sai korupsi dan sai manipulasi,lampung
daerah lampung punya beberapa pahlawan,indonesia
sina sebetik-betik bekal kuti ghumpok,lampung
pemandangan alamni bangik dipenok mata,lampung
jelaskan guna dan arti nya lampu lalu lintas ?,indonesia
dimana kantor tata usahanya ?,indonesia
nyak perelu puluh juta,lampung
menjaring ikan,indonesia
memberi kehangatan sepanjang masa,indonesia
kelas 7a nyaksiko drama di aula,lampung
mau ke sekolah,indonesia
wui ibu sakit perutku !,indonesia
mereka bersyukur dengan tuhan yang telah memberi tanaman jagung yang subur seperti itu,indonesia
mak balak ga,lampung
"ali punya sepeda , sepedanya berwarna merah",indonesia
buwokna keriting,lampung
nyak wek perusahaan nenggalan,lampung
gawi bapakni amir bedagang,lampung
di lampung selatan ada pantai merak belantung yang indah,indonesia
sikam makung ghatong dipenah gang lambanni,lampung
waktu ghani libur lamon pengalaman sai hikam pansa,lampung
nyak haga sehaluan jama dokter,lampung
disana ada pak sanusi,indonesia
ibu ku ghadu ninggal,lampung
mana ayam yang mau disembelih ? kata ayah,indonesia
"raden intan pahlawan lampung , ya mak gentar ngelawan kompeni",lampung
saya tidak begitu baik,indonesia
badan kita tidak mudah kena penyakit,indonesia
gadis itu membeli baju,indonesia
sapu itu kepanjangan dipotong saja,indonesia
bang ! wat telu deghian gogoghan cawa bu hajah fatimah,lampung
nyak haga lapah pesai,lampung
kelas empat main kasti di lapangan,indonesia
hikam jak dilulih kepala sekula ulih naanbi izin,lampung
sekarang bekas nya gunung ini jadi obyek wisata ilmu dan wisata alam,indonesia
"nama pahlawan di daerah lampung bagian selatan yaitu batin mengunang , raden intan 2 , raden imba serta raden intan 1",indonesia
amun bagheng jama bunda,lampung
terima kasih sudah mampir,indonesia
lukman sekeluarga,indonesia
sanak pramuka nyepok jejak tejajau di pulan,lampung
sudah dua hari,indonesia
mana petenis yang berasal dari amerika itu,indonesia
saya punya lima anak,indonesia
jelaskan pola makanan yang baik !,indonesia
kapan gedung ini dibangun ?,indonesia
acaranya menarik,indonesia
di sekitar rumah,indonesia
berapa baju cokelat yang ada di kotak nomor sembilan ?,indonesia
bapak menanam padi di sawah,indonesia
sawah kakek muhammad luas betul karena dia seorang petani yang berhasil,indonesia
sekula gham,lampung
"kattu wat kepeghluan sanak-sanak , mudah gawoh tiyan ghatong mit lamban gughuni",lampung
"wat munih si mak neghuskon sekula , taghu di pekon jadi penganggughan",lampung
sanak sikam butenadaian jama hulun dija,lampung
sanak sina pagun lunik kidang ya pinter ngaji,lampung
kapan ayahmu datang dari naik haji ?,indonesia
saya baru saja kerja disini,indonesia
rahmat alloh yang seperti itu sepantes nya kita syukuri dengan cara tetap menjaga lingkungan,indonesia
tujuanni guwai seghana ngenalko ghik ngemajuko objek-objek wisata gham,lampung
nyak lahir tahun 1982,lampung
"bu , jam pigha acara dimulai ?",lampung
saya akan ke rumah sakit,indonesia
berapa luasnya kolem haji bakri ?,indonesia
harganya sudah termasuk pajak,indonesia
"ulah kemalesni ya gesok maka cakak kelas , ya di jawohi ghikni",lampung
nyak tersesat di jalan,lampung
nyak lagi gahing,lampung
kami sampaikan isi hati,indonesia
"pak ali cawa , amun niku sakik guwailah surat izin",lampung
"pak , ani haga mit kelas sebelah , hikam haga nginjam kamus",lampung
"ali cawa jama hasan ghik husin , haga mit dipa kuti ?",lampung
api niku radu sekula ?,lampung
adik menangis ditampar kaka,indonesia
ija neram kanah keburu lapah,lampung
poh ram kuruk,lampung
sudah itu bertanya apa kabarmu ?,indonesia
ayah membaca koran,indonesia
berapakah harganya ?,indonesia
dia tidak mau belajar sama sekali apalagi mengaji,indonesia
dia pemilik perusahaan,indonesia
sawah dan ladang nya luas,indonesia
di kabupaten lampung timur ada tempat wisata namanya way kambas,indonesia
apa bahayanya jika kita melanggar tanda-tanda lalu lintas ?,indonesia
saya minta dibungkus,indonesia
sekitar satu jam dari sini,indonesia
jam pira tutup ni ?,lampung
amrin jak ghigu tiucakkon ari jama inakni,lampung
ghepa laju kudo gham latihan pramuka ghani sinji ?,lampung
itu terlarang menurut hukum,indonesia
hari minggu libur,indonesia
kamu ini mau dipinjami uang terus !,indonesia
"pak tono tungga anakni , cawani jak ipa niku ?",lampung
nyak jemoh wat ujian,lampung
nyedihkon,lampung
dimanakah alamat ini ?,indonesia
rumah yang ukurannya sedang,indonesia
pigha sepatu haghong sai wat di kutak nomogh epak ?,lampung
beberapa bulan yang lalu mereka menikmati panen padi,indonesia
keluarga dari pihak tamu mengantarkan pengantin ke rumah besan,indonesia
ghepa laju kudo gham latihan taekwondo kanah debi ?,lampung
lihat lah sang ombak berdesir bermain di pinggiran pasir,indonesia
"hampaghan paghi di huma sai koneng , guyughan way teghjun sai nambah keindahan sekitaghni",lampung
anak disuntik imunisasi agar sehat,indonesia
ibu memasak nasi di dapur,indonesia
adik nyimpen buku di lemaghi,lampung
"lina tungga jama ana ghik ani , kuti beghuwa haga nutuk latihan tari kanah bingi ?",lampung
"ani haga mit dughi , ya permisi jama guruni",lampung
ngasi nyak ratong jama sanak-sanak ?,lampung
kita ke sana naik bis,indonesia
berapakah usiamu sekarang ?,indonesia
"tabik , dipa pok ku dapok ngembeli gula suluh ?",lampung
angahkon banguk mu,lampung
polantas yang mengatur lalu lintas,indonesia
kalau mau ikut qurban masih ada sisa beberapa lagi,indonesia
bu ani lagi bubalah jama bu ira,lampung
tiyan lapah sekula,lampung
"pak , kebersihan ruang kelas sikam mak tijaga ulah tugas piketni mak bejalan",lampung
yu wat,lampung
cerita sai temani kepahlawanan atau cerita tokoh-tokoh pahlawan sai beasal jak daighah abung lampung contohni betan subing,lampung
"layin sanian jelma , kaghunia tuhan sai maha kuasa",lampung
aripin begughau jama arvina,lampung
keterangan itu ada di al-quran surah annas,indonesia
abang diughau ia mak nyahut,lampung
karnanya janji diingkari sakit sekali hatiku ini,indonesia
sai mak tekughuk bentuk kata berimbuhan yalah kata imbuh,lampung
ghetini kanikan sai gizi ni ghadu sesuwai jama kepeghluwan ni badan,lampung
ceramahnya terlalu lama,indonesia
si jadi tikus lapah ngelingkogh butepai-tepai sambil ngucakko kucing-kucing buta,lampung
siapa namanya orang tua ilham ?,indonesia
ghadu sina ngulih api kabaghmu ?,lampung
"karena rajin membaca buku , nita sama iwan di kelas selalu dapat nilai yang paling tinggi",indonesia
petani ngajual hasil panen ni,lampung
bisa lebih pelan bicaranya,indonesia
saya mau membeli celana pendek,indonesia
berapa banyak uang yang anda butuhkan ?,indonesia
setiap debinggi ku miwangi bitian dighi sinji,lampung
ya haga mengan mie,lampung
ayah betapa ku agungkan,indonesia
kiyai mengendarai motor tidak memakai helm ditahan polantas,indonesia
"minan , sikam haga mulang",lampung
kunpa ya ghatong jak tanoh suci ?,lampung
maaf sudah menunggu,indonesia
nyak kilu kwitansini,lampung
ia gemuk,lampung
lagi api niku ?,lampung
"amir cawa jama apakni , pak hikam haga balik",lampung
minggu depan,lampung
turis lom negheghi disebut kuaghi,lampung
lain dari itu ada kakak dan adik yang merupakan pelengkap di lingkungan keluarga,indonesia
dimana nita dan iwan membaca buku ?,indonesia
minan haga mit dipa ?,lampung
"kamus sai tebol udi , kamus sai genok",lampung
bisakah anda menolong saya mencari nomor telepon ini ?,indonesia
gambagh sinji helau benogh,lampung
nyak haga midor,lampung
sampai jumpa nanti sore,indonesia
ayah betapa kudoakan,indonesia
"di panggung hiburan ada musik dangdut , musik kulintang dengan kesenian yang lain",indonesia
dia kurus,indonesia
lagi api puskam mak ?,lampung
ilham dibelikon indukni mubil-mubilan,lampung
teman kerja saya banyak yang berasal dari jawa,indonesia
buku harus diberi nama supaya tidak tertukar dengan teman,indonesia
selainnya itu di rumah ada kakak dengan adik,indonesia
waktu libur kami berjalan-jalan ke musium,indonesia
tiyan ghadu sampai di pantai merak belantung,lampung
siapa yang belum datang mau ditunggu gerangan,indonesia
alah ghiwayat nigoh hina pemeghintah daerah propinsi lampung ghadu nuttopko unggal tahun diwatko festival krakatau,lampung
"di saat kezaliman merajalela muncullah pendekar , siapa namanya ?",indonesia
"hai jama-jama , dengisko ngedok sai haga nyak sampaiko jama kuti",lampung
gajinya telat,indonesia
unyin mughid ghik gughu nutuk senam pagi,lampung
ampunkan segala dosa,indonesia
saya mau yang besar,indonesia
api kabagh ? helau,lampung
di daerah lampung bagian utara pahlawan yang terkenal namanya pangeran indra kusuma,indonesia
sikam sama sekali mak pandai ngumung lampung,lampung
"jangan ribut , perhatikan !",indonesia
ya saya sudah menikah,indonesia
saya punya peta,indonesia
pagi-pagi nihan ibu ghadu belanja mit pasagh,lampung
nyak radu mengan reboksa,lampung
kasih sayang bunda ibarat surya,indonesia
bu pira nilai ulangan ku nambi ?,lampung
"ali berkata sama hasan , saya mau memancing , kamu ikut ?",indonesia
kiyai ngabeli nasi padang lalak bekaretan ghua,lampung
adik menyimpan buku di lemari,indonesia
liman pintogh main bal jama lapah cukut ghua,lampung
nyak kilu sai porsi daging kambing tipukpul,lampung
rasanya pas,indonesia
api ngasi ngusung nginum mik delom ?,lampung
kawan-kawan amir sedang ramai bercerita,indonesia
dia tidak rela kalau tanah lampung diinjak-injak oleh penjajah belanda,indonesia
kolam ini disangka orang tambak udang lindu,indonesia
jamukko gawoh di lambung kasor,lampung
nyak haga ngembuka rekening tabungan,lampung
mak muni,lampung
terhadap raden intan pemerintah memberi gelar apa ?,indonesia
"pendekar mata pak , di zaman tumbai hughik jelma sakti di pekon sai tekughuk lampung barat tanno",lampung
nyak mak mudik tahun sinji,lampung
gham lapah mit sekula ki di almanak tanggalni agheng,lampung
"bu , hamba mau ke makam , hamba mau menemui ibu hamba",indonesia
bagaimana cuacanya sekarang ?,indonesia
kambing digulai ibu,lampung
haga cacak haji hulun tuhani,lampung
"pak gughu cawa jama saunyin mughid , kuti harus belajagh supaya cacak kelas !",lampung
ayah betan subing ialah ratu dipuncak,indonesia
kerjako tano !,lampung
ilham gembira sekali,indonesia
apakah anda punya nomor telepon ini ?,indonesia
berapa harga kirim surat biasa ?,indonesia
kayu itu menghadang di jalan raya,indonesia
amakni sai ngeracuni anak kandungni,lampung
unyinni yalah kata ganti orang sai dipakai lom bahasa perwatin sai layin yalah nyak,lampung
njuk na susuk na kurang,lampung
sambil tiyan lapah apak nyeghitako festival sinji,lampung
nilainya jelek,indonesia
hati saya sedang gundah,indonesia
berapa lama anda bekerja ?,indonesia
berapa harga perangkonya ?,indonesia
sigogh sai haga tipakai adu disaponi minan di lemari,lampung
ayah membaca koran,indonesia
ghepa laju kudo gham latihan bal voli ghani sinji ?,lampung
"maaf pak , hari senin ini mau dilaksanakan upacara",indonesia
kejelasan udi radu wat dilom quran surah annas,lampung
pagi-pagi benar mereka sudah bangun,indonesia
ada yang harus saya kerjakan di kantor,indonesia
petani ditempat itu benar-benar rajin memperhatikan tanaman jagungnya,indonesia
saya mau air putih,indonesia
sanak-sanak hiji bu gughu,lampung
ghajin belajagh,lampung
malam jumat yang lalu kami menginap di kemah,indonesia
tunjukkan kata berimbuhan tetap !,indonesia
"amir anak sai tuha , sai ke ghuwa adikni gelaghni ani",lampung
ini nama saya dan nomor rekening saya,indonesia
walau sd terpencil gelaghni sanak-sanak nayah si ghadu tamat anjak sekula sina neghusko atau keghja di luwah pekon,lampung
api gawoh sai di ujiko ?,lampung
dari mana anak-anak itu ?,indonesia
"bu ani bertanya suami nya , mengapa anda tidak makan ?",indonesia
di pinggir kiri kanan jalan raya banyak orang menjual makan dan minuman,indonesia
geghalku  amin,lampung
sapa gelagh bapakni ilham ?,lampung
"sikam pak , si gelagh ni boy",lampung
niku sija haga tiinjami duit juga !,lampung
buting jama maju diarak buiringan,lampung
bapaknya pesuruh di smp itu,indonesia
"lagi api niku , dik ?",lampung
"tono melihat kepala sekolah , turun dari mobil sedan , katanya pagi sekali beliau datang",indonesia
lebih lebih walau ada acara sepak bola di tivi,indonesia
nyak haga ngenjadiko cek sija duit,lampung
mak sulit ga,lampung
"ada juga acara lomba renang di selat sunda , lomba perahu layar dan lomba perahu dayung",indonesia
nyak galak,lampung
jawabni yalah raden kepaghat,lampung
tempat parkirnya ada di sebelah sana,indonesia
kuahnya sedikit saja,indonesia
kapan ujiannya ?,indonesia
tidak pernah,indonesia
saya akan jalan-jalan,indonesia
"nita sangun tekenal sanak sai ghajin , waya , lagi nutuk atoghan di sekula ataupun di lamban",lampung
saya sedang bingung,indonesia
sebelum senam di mulai ada pengarahan dari guru olah raga,indonesia
kalau bareng sama bunda,indonesia
tempat tujuan wisata,indonesia
saya lahir tanggal tujuh belas mei 1982,indonesia
tanya ardi sama bapaknya,indonesia
"ayah , ibu tuan-tuan yth baru datang ya",indonesia
di dudi neram dapok cakak kuda,lampung
saya merasa letih,indonesia
nyak haga ceghitako sekula di pekon ku,lampung
"kamus yang tebal itu , kamus yang genok",indonesia
kidang ganta bunda ghadu tiada,lampung
tetapi saya ke warung dulu ida,indonesia
jika semuanya sudah siap guru membunyikan kaset senam pagi,indonesia
"rumah sebagai tempat tinggal keluarga harus sehat lingkungannya , tidak kumuh , tidak panas",indonesia
berapa harga kirim pos kilat ?,indonesia
suatu ketiko nyak ngemik kesempatan ngebatok bal,lampung
